CNES,FANTASIA
6624502,FISIO DEL CORPO DE FISIOTERAPIA
6624677,SECRETARIA MUNICIPAL DE SAUDE
6624774,FERNANDA STASSEM DOS SANTOS
6625215,MEDSCIENCE SERVICOS MEDICOS E DE ENSINO SOCIEDADE SIMPLES
6625258,JORGE LUIZ PORTALUPI
6625274,ANGELA MULLER SPERB
6625320,ODONTOHOSP ODONTOLOGIA HOSPITALAR
6625371,HEMOVITTA LABORATORIO DE ANALISES CLINICAS
6625525,CLINICA MEDICA J C G LTDA FILIAL
6625959,ADRIANE FRANCISCA SALIBA PACHECO
6626033,RAQUEL MARTINS STEINBRUCH
6626130,SECRETARIA MUNICIPAL DE SAUDE DE ANTONIO PRADO
6626483,SECRETARIA MUNICIPAL DE SAUDE DE PICADA CAFE
6626823,CHARLIZE DIAS ROCHA
6626971,THEO WILLIAM HACKBART
6627005,CONSULTORIO MEDICO DR CARLOS HAYGERT PITHAN
6627013,CONSULTORIO NUTRICIONAL DRA MARIA GIZELDA GARCIA THADEU
6627021,CONSULTORIO ODONTOLOGICO DR FRANCISCO LUIZ LISBOA RAMOS
6627072,CONSULTORIO ODONTOLOGICO DRA SUZIMARA MACHADO GASPAROTTO
6627080,SAMU 192 ALEGRETE
6627390,JOAO BATISTA MACHADO GIONGO
6627404,MARLISE MARIA SCHUSTER NUNES
6627722,MARLISE GOTTFRIED WEIS
6627781,BONLAB
6627935,JOICE GILVANA KROTH
6627943,HOME CARE HOSPITAL
6628044,CLINICA BONATTO DERMATOLOGIA E ODONTOLOGIA S S LTDA
6628273,SECRETARIA DA SAUDE
6628397,MARLYSE GONCALVES STEINER
6628400,RUY GONZALO HARTMANN
6628443,QUALITA
6628516,CONSULTORIO DE PSICOLOGIA
6628524,CONSULTORIO DE PSICOLOGIA
6628664,CONSULTORIO MEDICO ALVES E MICHEL
6628753,CIBERIE REGINA DA SILVA SANTOS
6628869,CARMEN OTILIA SCHMITZ MARTINY
6628885,MARCIO ROCKENBACH
6629075,MARIA CLAUDIA MORAIS MANO
6629830,LABORATORIO DO CENTRO DE SAUDE
6629849,SERVICO DE FISIOTERAPIA MUNICIPAL
6629997,UNIDADE DE SAUDE PARQUE ANTARTICA
6630006,COMED
6630014,JANETE SHATKOSKI BANDEIRA
6630057,CIBELE SCHEER JACQUES
6630111,DANIEL SILVA DE SOUZA
6630197,IMEDE CENTRO INTEGRADO DE MEDICINA DO EXERCICIO LTDA
6630596,ODONTOLOGIA INTEGRADA LTDA
6630707,CLINICA JOCIMARA FERNANDES
6631002,POSTO DE SAUDE DE VILA ASSIS
6631045,UNIDADE DE SAUDE PROGRESSO II
6631061,REVITALIZE CORPO E MENTE
6631134,CONS NUTRICAO CAROLINA PIANESSO KREJCI ALVES
6631258,SECRETARIA MUNICIPAL DE SAUDE DE SILVEIRA MARTINS
6631533,CIBELE CAMPARA MARTINS
6631630,SAMU 192
6631673,LISIANE FACCIN KNOB DA COSTA
6631835,HOSPITAL DIA E PRONTO ATENDIMENTO FARROUPILHA
6631843,PLIM CLINICA DE ASSESSORIA MEDICA LTDA
6631851,GABRIEL TIAGO PEREIRA
6631878,CLEOMAR VIEIRA FONSECA
6631886,EDUARDO BRAMBILLA
6631894,LEILA M F BRAMBILLA
6631908,CLINICA OFTALMOFAR LTDA
6631940,SANDRA DA COSTA LISBOA
6632041,MAXIORTHO CLINICA ODONTOLOGICA
6632130,CLINICA TERAPEUTICA DALLA CORTE
6632319,DOCTOR LABORATORIO
6632327,NOVA IMUNE CLINICA DE VACINAS LTDA
6632424,INSTITUTO DE OFTALMOLOGIA FAXINAL
6632548,TATIANA LUZIA FERNANDES CAUMO
6632637,FISIOLIFE
6632653,FISIOVIDA
6632688,CONSULTORIO ODONTOLOGICO DR LILIANA
6632718,SOUL SERVICOS MEDICOS EIRELI
6632874,OCULAR CENTER OFTALMOLOGIA SOCIEDADE SIMPLES LTDA
6632920,ICV CLINICA DE SAUDE E REABILITACAO LIMITADA
6633129,GILCA REJANE DA ROSA BOHM
6633137,CEO CENTRO DE ESPECIALIDADES ODONTOLOGICAS
6633145,UNIMED NORDESTE RS SOCIEDADE COOP DE SERVICOS MEDICOS LTDA
6633269,CLINICA DE OLHOS DR CRHISTIAN PRETTO
6633277,HERMES PEREIRA DE MELLO
6633285,NEIVA MARIA FASOLIN MELLO
6633331,CLINICA ODONTOLOGICA RIZZATO
6633404,LUCAS SILVA ANDRADE
6633897,DEISI FRANCIELI SIPPEL
6633935,FYSIO PHORMA CLINICA DE FISIOTERAPIA E ACUPUNTURA LTDA
6633978,SECRETARIA MUNICIPAL DE SAUDE
6634400,LUCIANO CONSTANTE SARMENTO
6634427,SAMANTA NICARETTA MUNHOZ
6634583,ISABEL VARGAS WITCZAK
6635059,VANESSA RIBOLI PICCININI
6635202,CENTRO DE OTORRINOLARINGOLOGIA DA REGIAO DAS HORTENSIAS
6635571,CLINICA RESMINI
6635695,CENTRO DE ATENCAO PSICOSOCIAL CAPS I TRES PASSOS
6635865,PAULO CESAR DE CESAR
6635881,JACQUELINE ALMEIDA SANTOS
6636004,SECRETARIA DE SAUDE
6636152,AUGUSTO AGNE
6636403,MEDICE CLINICA
6636454,CLINICA AURA LTDA ME
6636950,CONS MED GUILHERME DUTRA PINHEIRO
6637388,CONSULTORIO DE ODONTOLOGIA SILVANA KAUTZ
6637744,REABILITH CLINICA DE FISIOTERAPIA
6637809,UNIDADE DE SAUDE PRISIONAL PASC
6637817,CLINICA DE FONOAUDIOLOGIA FAGONDES LTDA
6637906,POSTO DE SAUDE LINHA MENDES CAICARA
6638147,USF ITATIAIA
6638171,FABIANE IVANICE STEDILLE
6638457,LIANA SOUTO CORREA DE MENDONCA
6638597,FABIANA DOS REIS AYRES
6638627,MARNY PALLUDO
6638694,CLINICA DE PSICOLOGIA GUAIBA
6638988,CAPSI PANDORGA GHC
6639070,LABORATORIO SILVEIRA
6639240,LOUISE LOVATTO
6639364,EDSON JAIR FRIEDRICH
6639917,FIPP
6639984,SESC RS
6640478,CNH CENTRO NOVOS HORIZONTES
6640699,SECRETARIA MUNICIPAL DE SAUDE DE MACAMBARA
6640745,CARMEN PEREZ DE FREITAS FREITAG
6640958,SETTING ESPACO CLINICO
6641393,WEINMANN LABORATORIO CACHOEIRINHA
6641407,WEINMANN LABORATORIO
6641482,CENTRO DE PSICOLOGIA E ARTETERAPIA ERECHIM LTDA
6641628,SECRETARIA MUNICIPAL DE SAUDE
6641644,MICHELLE ZOLET
6641911,SECRETARIA MUNICIPAL DE SAUDE DE PEJUCARA
6641946,SMS DE NOVA HARTZ
6642128,SMSAS ACEGUA
6642179,VITTARA CLINICA ODONTOLOGICA LTDA
6642438,VIGILANCIA SANITARIA SANTO AUGUSTO
6642519,ANA PAULA SCHEFFER RIFFEL
6642543,CARLA PERIN SALLES
6642551,BRUNA CHAVES LOPES
6642586,ISABEL CRISTINA STORCK
6642691,GILSON DO RIO MARTINS
6642764,CLINICA ODONTOLOGICA TESSELE
6642772,CLINICA VITAL
6642780,DIAG IMAGEM
6642861,AUDIO CENTER CENTRO AUDITIVO
6642896,CONSULTORIO DE PSICOLOGIA MARJORIE ROCHA C LEMOS
6642926,IVO FENSTERSEIFER
6643272,ALICE MULLER
6643388,SECRETARIA MUNICIPAL DE SAUDE DE ESTRELA VELHA
6643612,SECRETARIA MUNICIPAL DA SAUDE DE ALEGRIA RS
6643884,ALVARO ARI MARCOLIN
6643914,SOS UNIMED NORDESTE RS
6643922,CLAUDEOMIRO AUGUSTINHO FILHEIRO
6644163,ESCOLA ESPECIAL PROFESSOR ALFREDO DUB
6644260,DELTANEST
6644325,CONSULTORIO ODONTOLOGICO DR ALESSANDRO SANTANA DE ALMEIDA
6644740,CAROLINE DA LUZ DALSOTO
6644767,ANDRE LASTA FISIOTERAPIA
6644775,COMUNIDADE TERAPEUTICA RECONQUISTA
6644872,LABORATORIO MILLENIUM
6644937,SERGIO PICCOLI ROMANOWSKI
6644945,RAIMED CLINICA DE DIAGNOSTICO POR IMAGEM LTDA
6645100,ANDREA FABIANI
6645186,FABIO KLEIN DIAS
6645291,ISEV UNIDADE ARROIO DOS RATOS
6645321,IARA ESTER SPINDLER LOHMANN
6645356,GASTAO COSTA ROSSETTO
6645399,SECRETARIA MUNICIPAL DE SAUDE DE SAO SEPE
6645577,CONSULTORIO ODONTOLOGICO DR PAULA PETERINI BOEIRA
6645836,DANIELE TEN CATE
6645844,DURAL DENTE
6646352,ANDREA GEREMIA BASSUINO
6646379,ELIZANDRA LOPES RICHTER
6646441,ODONTOCLINICA SORRISO LTDA
6646557,SAMU 192 ANTONIO PRADO
6646565,CARLA REGINA CENI
6646840,CLINICA ARMANI
6646964,RITA DE CASSIA PORCIUNCULA RODRIGUES
6646972,GABRIELA JAEGER GONCALVES DA SILVA
6646999,CARMEN LUCY CERVANTES OLIOSI
6647022,DEBORA ELOY PROENCA
6647073,SECRETARIA MUNICIPAL DE SAUDE
6647081,JORGE GILMAR AMARAL DE OLIVEIRA
6647103,LABORATORIO DE PROTESE ODONTOLOGICA
6647111,CLINICA MUNICIPAL DE FISIOTERAPIA
6647189,MULTICLIN
6647219,UNIDADE BASICA DE SAUDE AUXILIADORA
6647227,CESAR AUGUSTO SARTORI
6647235,GILNEI KRUGER PENNO
6647499,CARMEN ROSEMERI COPETTI
6647502,FLAVIO ROGERIO HOERLLE
6647715,SECRETARIA MUNICIPAL DA SAUDE CAMPINA DAS MISSOES
6647871,CONSULTORIO DR JOSUE LUIZ VALANDRO
6647898,ROBERTA VEIT LEAL
6647952,CLINICA MULTIDISCIPLINAR DE SAUDE IVORENSE
6648231,SODERLAB
6648274,CLINICA DE ONCOLOGIA VIVER
6648312,SECRETARIA MUNICIPAL DE SAUDE DE QUARAI
6648347,MAURO FRANCISCO ANDRADE DE AZAMBUJA
6648355,LABORATORIO ANALISES CLINICAS
6648738,CLINICA GRAMADENSE
6648754,PRISCILA CARINE CRUZ DE ARAUJO
6648762,SECRETARIA MUNICIPAL DA SAUDE DE IJUI
6648940,MARJA BRZESKI DE OLIVEIRA
6649432,CAHY SERVICOS MEDICOS
6649475,P S M RADIOLOGIA E ECOGRAFIA
6649602,DANIEL JOSE DALCIN MONTAGNER
6649629,MARCOS ANTONIO BOFF
6650007,AFT CLINICA DE FISIOTERAPIA
6650066,CONSULTORIO ODONTOLOGICO DE JULIANA VILLA VERDE TELLES
6650287,LABORATORIO MUNICIPAL DE ANALISES CLINICAS
6650457,ARF SERVICOS DE URGENCIA E EMERGENCIAS MEDICAS
6650813,PATRICIA LAZZAROTTO
6651003,PABLO MALLMANN SILVA
6651097,NORBERTO NORA
6651208,TERAPIA E RECUPERACAO DA FALA LTDA
6651313,CONS PSICOL VIVIANE DO NASCIMENTO TONETTO
6651461,OFTALCARE
6651658,CLINICA MATER
6652158,APAE SAO LUIZ GONZAGA
6652670,CONSULTORIO DE DERMATOLOGIA
6652913,RITA IVONETE MAGRO DREON
6652948,RAFAEL VINICIUS DA ROCHA
6652956,FLAVIA REGINA BERLATO
6652980,CEDIL
6653227,FATIMA REMOCOES EVENTOS
6653588,PATRICIA FANTONI OLIVEIRA
6653626,MARTIM EGIDIO VONTOBEL WISSMANN
6653847,CRISTINE THEISEN
6654088,SECRETARIA SAUDE OSORIO
6654118,JAMILE RODRIGUES ISOPPO RAMOS
6654134,CELSO JOSE BERTOLETTI RACI
6654193,ELAINE XAVIER FONSECA
6654290,CRHO TORRES
6654487,SECRETARIA MUNICIPAL DE SAUDE DE VISTA ALEGRE DO PRATA
6655084,CLINICENTRO CONSULTAS MEDICAS
6655173,ZINID RICARDO BITTENCOURT DINIZ
6655181,VANIA MARISE RENZ
6655289,GIOVANA PASQUAL BARBISAN VEDOY
6655351,LABORATORIO DE ANALISES CLINICAS IMUNOLAB LTDA
6655548,CONSULTORIO DRA ESTER OLSSON VIANA
6656013,CONSULTORIO ODONTOLOGICO DRA CECILIA PIRES
6656064,CASSIA BELTRAME
6656080,BHEM MAIS
6656102,VALERIA UELLNER E SILVA
6656242,CLINICA BERTOLUCI LTDA
6656455,VIE IMAGEM CLINICA DE DIAGNOSTICO POR IMAGEM
6656668,EFFICIENZA CLINICA DE FISIOTERAPIA
6656854,GILBERTO WOLF
6656919,RICARDO DOS SANTOS PIRES
6656978,ESF I TERRA DE AREIA
6657001,RIVA FISIOTERAPIA LTDA ME MARAU
6657036,ELEONORA PETTERS BROILO
6657222,FARMACIA POPULAR DO BRASIL
6657257,SECRETARIA MUNICIPAL DE SAUDE
6657346,CLINICA RESMINI
6657605,CENTRAL MUNICIPAL DE VIGILANCIAS
6657850,CONSULTORIO MEDICO HENRY DE ABREU SOARES
6657907,LABORATORIO HERMANN
6657990,WEINMANN LABORATORIO
6658040,CONSULTORIO ODONTOLOGICO DRA TEODOLINDA T G ZARDO
6658369,SINDILOJAS
6658393,VIVIANE LIGORIO FAGUNDES
6658431,RADSON
6658458,SERVICO MUNICIPAL DE FISIOTERAPIA
6658504,LABORATORIO MUNICIPAL
6658539,CENTRO DE REABILITACAO E APOIO CRA
6658628,ESTUDIO DE PILATES E FISIOTERAPIA
6658644,SUELEN DUTRA JAQUES
6658709,INSTITUTO DE PESQUISA COM CELULAS TRONCO
6658822,SECRETARIA MUNICIPAL DE SAUDE DE SAO JOSE DO INHACORA RS
6658997,MARCELO BRUM MIRON
6659233,EQUI MULTI NA ATENCAO PRIMARIA
6659403,SULMETA MEDICINA DO TRABALHO E ASSESSORIA AMBIENTAL LTDA
6659470,TATIANE STATDLOBER
6659497,UNICLINI CAMOBI
6659551,GABRIELA PARCIANELLO ROEHRS
6659624,CONS MED FRANCISCO AZEVEDO MARQUARDT
6659799,ANDRESSA LAGO FIOR
6659802,CLINICA CARDIOLOGICA ROGER A COSTA LTDA
6660142,SILVIO MARCIO PEGORARO BALZAN
6660274,SOLANGE TEREZINHA BIANCHINI
6660606,ALVIN GUSTAVO FASOLIN TOMM
6661033,ALBERTO PUNA ZEBALLOS
6661084,DACIO ARDENGHI
6661203,POSTO DE SAUDE SAO RAFAEL
6661211,PRO IMAGEM
6661300,STABILITA CLINICA DE FISIOTERAPIA
6661319,DAVISMAR TEIXEIRA CASTRO RIBEIRO
6661416,JULIANA CRISTINA PIVA PAIM CARAZINHO
6661440,SANI DOS SANTOS RIBEIRO
6661483,MARCIA CRISTINA PAIVA
6661637,GILBERTO HEINECK CIA LTDA
6661734,JARDEL PETRY
6661742,PRODENTAL LABORATORIO DENTARIO
6661815,REGIS AUGUSTO BARBOSA CARAZINHO
6661947,PROTESE DENTARIA TB
6662056,KRISTIANE DI DOMENICO
6662110,CARDIOMAX CARAZINHO
6662382,APOIAR AMB MUNIC ATENCAO CRIANCA E ADOL VIT MAUS TRATOS
6662463,UNIODONTO VALE DO SINOS
6662528,CONSULTORIO DR LUIZ DEVILLA CUCCO
6662536,UNIMED REGIAO DA FRONTEIRA RS
6662544,CONSULTORIO DRA FERNANDA ROSTIROLA GUEDES
6662552,CONSULTORIO DR JOAO CARLOS SILVA DO COUTO
6662560,CONSULTORIO DR ROBERTO MARTINS AGUIAR
6662579,CONSULTORIO DR CARLOS ALBERTO DE MOURA LLIVIRIA
6662587,SIMCAST DR JOAO ALBERTO SIMOES
6662595,CONSULTORIO DR FELICIANO BERNARDES DE FREITAS NETO
6662951,ELIANE CECILIA MAIERON TURCATO
6662978,CARLA MARIA MILANI BELLINI
6663044,FLAVIA JESUS BRAZ
6663087,MIRIAM JANZ GUTIERREZ
6663095,MARIA DE LOURDES PEREIRA BARRADAS
6663532,CONS MED JOAO BATISTA DE CASTRO NETO
6663737,GUILHERME BREITENBACH
6663818,LABORATORIO VIDA II
6663923,MARINDIA BRANDTNER
6663931,FONOAUDIOLOGA LUIZA DALCIN FONSECA
6663974,PSICOLOGA CAMILA DA SILVA BOLZAN
6664008,CAMILA CELSO
6664725,CENTRO TERAPEUTICO VIVER MELHOR
6664997,NEURODIAGNOSTICO
6665381,CONSULTORIO ODONTOLOGICO RENATA SANTOS ANDRADE
6665446,DERQUI ANTONIO MOTTIN
6665462,CARLOS JOSE MANICA
6665551,SERGIO DUTRA
6665764,HELENA TERESINHA MOCELIN
6665918,JULIO AUGUSTO MANICA
6666817,CONSULTORIO DR CLAUDIO DALMAZ E MARIA ELIZA SIRENA
6667139,JOSY MICHELE GONZATTI
6667201,MARIA ISABEL GOMES
6667228,CARINA ALLES
6667600,GABRIELA DE OLIVEIRA
6667627,AUSILIA CORDAZZO
6667635,CLINICA DE ANESTESIOLOGIA MAGALHAES LTDA
6667767,CRO CENTRO DE REABILITACAO EM ODONTOLOGIA
6668011,ENDOLAB MEDICINA DIAGNOSTICA
6668259,BASLAB
6668453,CAROLINE SANDI
6668941,MARCIO BARBOZA CARDOSO
6668968,FERNANDO VARGAS BUENO
6669166,TANIRA FERREIRA LEAL
6669484,PATRICIA SOUZA FERREIRA
6669522,SECRETARIA MUNICIPAL DE SAUDE SAO VENDELINO
6669530,SECRETARIA MUNICIPAL DA SAUDE
6669689,ELOI MARIA ARAUJO PONSSONI
6669859,CARINA KEHL
6670415,ALINE JOSIANE WACLAWOVSKY
6670679,CARLA SCHRAMM FREITAS
6671071,CONSULTORIO PSICOLOGICO DRA ANALIA FERRAZ RODRIGUES
6671349,ENDOCLIN
6671438,FELIPE TIAGO KRINDGES
6671446,MARCOS FERNANDO BORTOLUZ
6671497,CAEPSY CENTRO DE ATENDIMENTO E ESTUDOS EM PSICOLOGIA LTDA
6671640,UNIDADE DE SAUDE DA FAMILIA IMIGRANTE SUL
6671853,SECRETARIA MUNICIPAL DE SAUDE DE NOVA RAMADA
6671918,JOAO RODRIGO PLETSCH SANCHES
6671942,DDSO SERVICOS DE FONOAUDIOLOGIA E FISIOTERAPIA
6672272,DISIUTA E MARTINS RADIOLOGIA
6672418,PRISCILA BUTTENBENDER
6672469,CLINICA ODONTOLOGICA ZANELLA LTDA
6672477,BLP DIAGNOSTICOS POR IMAGEM LTDA
6672647,CRISTIANO TURELA BORGES
6672825,RAFAEL BURTZLAFF
6672906,SECRETARIA MUNICIPAL DE SAUDE DE SANTIAGO
6672922,CELIA MARIA LAGO ROLIM
6673090,APAE SAO MIGUEL DAS MISSOES
6673295,CONSULTORIO NUTRICIONAL DRA SANDRA REGINA MELCHIONA E SILVA
6673449,CONSULTORIO ODONTOLOGICO DR DIRCEU MENON
6673589,FISIOMATTE
6673686,LAUREN LEMOS LEONHARDT CIA LTDA
6673791,INSTITUTO DE CARDIOLOGIA DE URUGUAIANA LTDA
6673805,SAMU USA 192 URUGUAIANA
6674429,NEUSA SCHAEFFER SCHMIDT
6674658,ANA MARIA LIMA BUENO DE ALMEIDA BASSO
6674747,EDSON FANCHIN
6674798,MARTHA FONSECA DA SILVA E SILVA
6674828,RICARDO PITTAS E SILVA
6674895,MARCIA HELENA LIMBERGER WAECHTER
6674933,G G SERVICOS DE SAUDE LTDA
6674976,JULIANA ROSSATTO
6674984,FERNANDO FRANDALOZO
6674992,AUDIOCLIN
6675158,ANA CAROLINA ANTUNES PICCOLI
6675166,FELIPE SILVA DE VASCONCELOS
6675271,ARMINDO PYDD
6675441,PERFECTA CENTRO ODONTOLOGICO LTDA
6675824,GABRIELA XAVIER FAGUNDES
6675875,LM ODONTOLOGIA
6676200,LABORATORIO MOMBELLI
6676227,UNIDADE DE SAUDE PAULO VIARO
6676278,SECRETARIA MUNICIPAL DA SAUDE
6676294,ROBERTA BORTOLOTTO
6676308,MULTICLINICA BOM JESUS
6676456,CONSULTORIO MEDICO DR JORGE LUIZ PORTALUPI
6676669,C E C SERVICOS MEDICOS
6676782,FUNDACAO DE SAUDE PUBLICA SAO CAMILO DE ESTEIO
6676944,CLINICA WARTCHOW
6677010,MARLI CLASSMANN
6677029,LUCIANA PARAREDA GUARAGNA
6677037,FISIOFIT STUDIO DE PILATES FISIOTERAPIA LTDA
6677169,R E C SERVICOS MEDICOS LTDA
6677177,SURGICARE
6677371,CONSULTORIO ODONTOLOGICO DRA VANESSA ZILIO RUBIK
6677584,CONSULTORIO DR ABDALLAH
6677592,CLINICA PRO SAUDE
6677606,CONSULTORIO MEDICO DR PERIN
6677614,CONSULTORIO CAMILA
6677622,MARCO ANTONIO MAHFUS
6677754,CENTRO ODONTOLOGICO MOINHO
6677797,PSICOLOGA ANGELICA COSTA ZANINI
6677819,EXATO LABORATORIOS CLINICOS
6677835,EXATO LABORATORIOS CLINICOS PROTASIO
6677851,EXATO LABORATORIOS CLINICOS RIACHUELO
6677924,PRO AUDIO COMERCIO DE APARELHOS AUDITIVOS
6677959,VERLAINE PETRI EICKHOFF
6678165,CLINICA MEDICA SAO LUCAS SOCIEDADE SIMPLES LTDA
6678904,SECRETARIA MUNICIPAL DE SAUDE DE FAXINAL DO SOTURNO
6678947,CLINICA CIRURGICA PEDIATRICA PEQUENO PRINCIPE
6679080,ALEXANDRA BURTET FRANZEN MELOTTO
6679153,CARLOS VOLTOLINI
6679161,MARCUS FALCAO BOHMGAHREN
6679595,LABORATORIO CITOLAB
6679609,CONSULTORIO MEDICO DR VILSON
6679617,CONSULTORIO DE TRAUMATOLOGIA
6679676,PROTESE LABORATORIO DENTARIO
6679684,SS PROTESE DENTARIA
6679765,HOSPITAL SAO JOSE
6679781,CONSULTORIO DE FONOAUDIOLOGIA FERNANDA RAMPELOTTO
6679838,PROTHESIS LABORATORIO DENTARIO
6679935,MARINES DUARTE DALL AGNOL
6680763,ECOM
6680844,CLORIS TEREZINHA KAUFMANN DA ROSA
6680984,CONSULTORIO DR GUSTAVO MISSIAGGIA
6680992,DAIANE SALDANHA DE AVILA
6681395,AMIR JOSE DOS SANTOS
6681409,FABIOLA TANUS DOS SANTOS STEFANI
6681417,MARCO ANTONIO STEFANI
6681468,NUTRYMAIS
6681603,SECRETARIA MUNICIPAL DE SAUDE ESMERALDA RS
6681654,ESF PAULO VIARO II
6681794,ANCAO EDISSON FLORES MENDES
6681972,LEPSI CLINICA DE PSICOLOGIA INTEGRADA
6682219,CRON LAJEADO
6682936,UNIMED REGIAO DA PRODUCAO
6683150,SAMU 192 CRISTAL
6683185,ALEXANDRE NICOLAS SBARDELOTTO ALEXIS
6683525,APAE ALEGRETE
6683673,CLINICA DE FRATURAS GIRARDI
6683894,MAGNOLIA CLINICA MEDICA ODONTOLOGICA
6684130,UPCO
6684548,ARTHUR ALEXANDRE PRETTO
6685307,M G O SERVICOS DE SAUDE LTDA
6685390,CONSULTORIO DE PSICOLOGIA
6685617,VIDATIVA CLINICA DE FISIOTERAPIA
6686079,CONSULTORIO ODONTOLOGICO ALESSANDRO MAXIMILIANO DE ALMEIDA
6686214,CONSULTORIO MEDICO KAROLINNE SCHULER ZOPPAS
6686311,RITA FABIANE TEIXEIRA GOMES
6686524,RIM MEDICINA ESPECIALIZADA LTDA
6686931,MILENE WOLFF MUHLE
6687105,CLINICA SORAYA CAMARGO ITO SUFFERT
6687172,FISIOCLIN
6687393,LABORATORIO DO CIRCULO POSTO DE COLETA GALERIA JC
6687466,FISIO CORPUS FISIOTERAPIA ESPECIALIZADA
6687482,CONSULTORIO DE FISIOTERAPIA MILENA MUGNOL RIZZATTI
6687490,MARCIA VALLI DA FONTOURA PATIAS
6687504,CLINICA GILBERTO JUVENAL PRADO LIMA
6687601,ECOCLINICA HNSG
6687911,OFTALMO CENTRO CARAZINHO
6688055,CLINICA MEDICA
6688292,CAROLINA SEBASTIANY
6688446,FACE S CIRURGIA E TRAUMATOLOGIA BUCO MAXILO FACIAIS
6688462,EDGAR CALDEIRA REIS
6688489,BIANCA SOARES REIS
6689353,LUCIANA BITTENCOURT FAGUNDES
6689582,SERGIO RAMOS VIEIRA
6689728,CIRCULO OPERARIO CAXIENSE
6690181,INSTITUTO DE ECOGRAFIA LTDA
6690270,LABORATORIO PASTEUR
6690343,AIT SAUDE RIO GRANDE
6690394,BIOLAB
6690408,MEINE MYLIUS MEDICOS ASSOCIADOS LTDA
6690416,OTOPEDI SERVICOS MEDICOS LTDA
6690491,MARIA ELISA ZOTTIS
6690505,CLINICA DE MEDICINA ESTETICA PAULO COSTA
6690548,MARCELO BRANDAO DA SILVA
6690572,UNIDADE DE ATENDIMENTO AVANCADO SAMU 192 SANTA ROSA
6690610,MARIVANE COSTA BEBER BOTTEGA
6690718,CONPLAN CONSULTORIA E PLANEJAMENTO PLANOS DE SAUDE LTDA
6690882,CLINICA FISIOTERAPIA E MOVIMENTO
6690963,CONSULTORIO ODONTOLOGICO LUDTKE
6691323,CLINICA DO CORACAO DOUTOR HUGO VARGAS LTDA
6691358,NORBERTO LUIZ FILIPE CHIELA
6691366,CLINICA GINECOLOGICA GEMINA LTDA
6691374,NICOLAU SILVEIRA NETO
6691382,PAN OFTALMOLOGICO LTDA
6691390,CLINICA MEDICA TATIM LTDA
6691455,LUCIANA ZANI VIEGAS DA SILVA
6691536,RARO CLINICA E ASSESSORIA MEDICA LTDA
6691579,UNIDADE BASICA DE SAUDE MONTE PASQUAL
6691595,ESPACO VIDA
6691757,CAPS AD III AMANHECER
6691838,ALEX HENRIQUE FARINA
6692095,CONSULTORIO FLAVIA BENIA
6692133,CONSULTORIO MEDICO MARCELO LEMOS INEU
6692184,VIVIANE RAPHAEL
6692230,IONE DEVENS
6692346,CLINI SAUDE
6692419,IMAGEM DIAGNOSTICA
6692435,RADIOLOGICA
6692508,CLINICA DE ASSISTENCIA ODONTOLOGICA GUAPORENSE LTDA
6692710,CLINICA ESTETICA E ODONTOLOGICA MARTINS ROHOR
6692893,CIRCULO
6693385,CRESCER CLINICA MATERNO INFANTIL LTDA
6693555,LAURA DE BRITO SOUTO
6693598,GASTROLAB
6694144,SAMU 192 BASICO
6694616,CAUBI TERNES
6694721,CLARICE MOSCHEN
6694926,UBAI NAVEGANTES
6694942,NELSI TEREZINHA ELSING
6694969,CONSULTORIO DR REGIS SCOMAZZON
6694977,F LONDERO E CIA LTDA
6695124,JAMES FRACASSO
6695469,RAQUEL RAFFAELLI
6695477,MEDICINA E ESTETICA DR DEVENS
6695485,ROBERTA WILHELMS CLINICA DE REUMATOLOGIA LTDA
6695736,UNIQ
6696120,MICHELI CRONST
6696317,CONS MED LIVIA SCHNEIDER BERNARDI
6696554,ADRIANA DE CARLI SONDA
6696694,SAMU 192 BENTO GONCALVES USA 025
6697097,PROATIVA
6697216,PAULA BANDEIRA PEREIRA
6697259,CONSULTORIO ODONTOLOGICO MARIA DA GLORIA SCOTTI PETRI
6697380,FARMACIA BASICA DISTRITAL NORDESTE CAIC CANOAS
6697968,SERVIMETRA
6698123,SECRETARIA MUNICIPAL DE SAUDE DE JABOTICABA
6698204,FISIO LIFE
6698220,SECRETARIA MUNICIPAL DA SAUDE SMS
6699324,VITAPREV
6699685,ODONTO RAD
6700063,TACIARA PATIAS CIA LTDA
6700306,CINO
6700314,ESPACO VIDA
6700470,PAULO ROGERIO COSSETIN AZEVEDO
6700489,EDUCARE SERVICOS DE NUTRICAO
6701302,CONSULTORIO DENTARIO FERNANDO BAIER
6701574,CONSULTORIO MEDICO ALMEIDA
6701590,CONSULTORIO ODONTOLOGICO FABIO FERREIRA
6701604,DEBORA M F SCHUSTER
6701612,CONSULTORIO DE FISIOTERAPIA
6702023,CONSULTORIO MEDICO BRUNO ANTONIO NOAL
6702813,CLINICA MEDICA R C COSTA LTDA
6703178,DENTALIS APARELHOS ORTODONTICOS
6703372,CLEONIR KOTT
6703690,SECRETARIA MUNICIPAL DE SAUDE DE PIRATINI
6703704,GUILHERME AREND PESCE
6703771,INSTITUTO DO SONO DE SANTA MARIA
6703801,CLINICA AUDIOLAB
6703925,CMO CENTRO DE MEDICINA OCUPACIONAL
6703941,CONSULTORIO DRA VANESSA MARTINS MELERO
